year,bafta,film
1960,1,THE APARTMENT
1960,0,THE 400 BLOWS
1960,0,THE ANGRY SILENCE
1960,0,L'AVVENTURA
1960,0,LA DOLCE VITA
1960,0,ELMER GANTRY 
1960,0,HIROSHIMA MON AMOUR
1960,0,INHERIT THE WIND 
1960,0,LET'S MAKE LOVE
1960,0,BLACK ORPHEUS
1960,0,NEVER ON SUNDAY
1960,0,SATURDAY NIGHT AND SUNDAY MORNING 
1960,0,SHADOWS 
1960,0,SPARTACUS 
1960,0,THE TESTAMENT OF ORPHEUS
1960,0,THE TRIALS OF OSCAR WILDE
1960,0,TUNES OF GLORY
1961,1,BALLAD OF A SOLDIER
1961,1,THE HUSTLER 
1961,0,THE WORLD OF APU
1961,0,THE INNOCENTS 
1961,0,JUDGMENT AT NUREMBERG
1961,0,THE LONG AND THE SHORT AND THE TALL 
1961,0,ROCCO AND HIS BROTHERS
1961,0,THE SUNDOWNERS 
1961,0,A TASTE OF HONEY 
1961,0,THE HOLE 
1961,0,WHISTLE DOWN THE WIND 
1962,1,LAWRENCE OF ARABIA 
1962,0,LAST YEAR AT MARIENBAD
1962,0,BILLY BUDD 
1962,0,THE ELUSIVE CORPORAL
1962,0,THE LADY WITH THE DOG 
1962,0,THE NAKED ISLAND
1962,0,JULES AND JIM
1962,0,A KIND OF LOVING 
1962,0,THE L-SHAPED ROOM
1962,0,LOLA 
1962,0,THE MANCHURIAN CANDIDATE 
1962,0,THE MIRACLE WORKER 
1962,0,ONLY TWO CAN PLAY
1962,0,PHAEDRA 
1962,0,THROUGH A GLASS DARKLY 
1962,0,TU NE TUERAS POINT
1962,0,THE LONG ABSENCE
1962,0,WEST SIDE STORY 
1963,1,TOM JONES 
1963,0,8½
1963,0,BILLY LIAR 
1963,0,DAVID AND LISA
1963,0,DAYS OF WINE AND ROSES 
1963,0,DIVORCE ITALIAN STYLE
1963,0,HUD 
1963,0,KNIFE IN THE WATER 
1963,0,THE FOUR DAYS OF NAPLES 
1963,0,THE SERVANT 
1963,0,THIS SPORTING LIFE
1963,0,TO KILL A MOCKINGBIRD 
1964,1,DR. STRANGELOVE
1964,0,BECKET 
1964,0,THE PUMPKIN EATER
