year,cannes,film
1946,1,THE TURNING POINT
1946,1,MEN WITHOUT WINGS
1946,1,THE LAST CHANCE
1946,1,TORMENT 
1946,1,PORTRAIT OF MARIA
1946,1,"ROME, OPEN CITY"
1946,1,NEECHA NAGAR
1946,1,BRIEF ENCOUNTER
1946,1,PASTORAL SYMPHONY
1946,1,THE LOST WEEKEND
1946,1,THE RED MEADOWS
1947,1,ZIEGFELD FOLLIES
1947,1,ANTOINE AND ANTOINETTE
1947,1,DUMBO
1947,1,CROSSFIRE
1947,1,THE DAMNED
1949,1,THE THIRD MAN
1951,1,MISS JULIE
1951,1,MIRACLE IN MILAN
1952,1,THE TRAGEDY OF OTHELLO: THE MOOR OF VENICE
1952,1,THE CENTS WORTH OF HOPE
1953,1,THE WAGES OF FEAR
1954,1,GATE OF HELL
1955,1,MARTY
1956,1,THE SILENT WORLD
1957,1,FRIENDLY PERSUASION
1958,1,THE CRANES ARE FLYING
1959,1,BLACK ORPHEUS
1960,1,THE SWEET LIE
1961,1,THE LONG ABSENCE
1961,1,VIRIDIANA
1962,0,ADORABLE JULIA
1962,0,ADVISE AND CONSENT 
1962,0,ALL FALL DOWN 
1962,0,ÂMES ET RYTHMES 
1962,0,AND LOVE HAS VANISHED
1962,0,A BOMB WAS STOLEN
1962,0,THE BREAD OF THOSE EARLY YEARS
1962,0,CAPTIVE FLOCK
1962,0,CHILDREN OF THE SUN 
1962,0,CLÉO FROM 5 TO 7
1962,0,DEVI 
1962,0,"DIVORCE, ITALIAN STYLE"
1962,0,L'ECLISSE
1962,0,ELECTRA 
1962,0,THE EXTERMINATING ANGEL 
1962,0,THE FEMALE: SEVENTY TIMES SEVEN
1962,0,FOUNDRY TOWN
1962,0,HARRY AND THE BUTLER
1962,0,THE IMPOSSIBLE GOODBYE
1962,0,IN THE STEPS OF BUDDHA 
1962,0,THE INNOCENTS 
1962,0,JOSEPH THE DREAMER
1962,0,KONGA YO
1962,0,LIBERTÉ I
1962,0,LONG DAY'S JOURNEY INTO NIGHT 
1962,0,THE LOVERS OF TERUEL 
1962,0,THE MAGNIFICENT CONCUBINE
1962,0,MAN IN OUTER SPACE
1962,0,MONDO CANE
1962,1,O PAGADOR DE PROMESSAS
1962,0,PLÁCIDO 
1962,0,THE SMALL STRANGER 
1962,0,A TASTE OF HONEY 
1962,0,THE TRIAL OF JOAN OF ARC
1962,0,WHEN THE TREES WERE TALL
1963,0,LES ABYSSES
1963,0,ALVORADA 
1963,0,THE CAGE 
1963,0,CAROM SHOTS
1963,0,THE CASSANDRA CAT
1963,0,CODINE
1963,0,THE CONJUGAL BED 
1963,0,A COZY COTTAGE
1963,0,EMPRESS WU TSE-TIEN 
1963,0,THE FIANCES
1963,0,FOR THOSE WHO WILL FOLLOW
1963,0,GLORY SKY
1963,0,THE GOOD LOVE
1963,0,HARAKIRI 
1963,0,HOW TO BE LOVED
1963,1,THE LEOPARD 
1963,0,LIKE TWO DROPS OF WATER
1963,0,LORD OF THE FLIES 
1963,0,OPTIMISTIC TRAGEDY 
1963,0,EL OTRO CRISTÓBAL
1963,0,RAT TRAP 
1963,0,THIS SPORTING LIFE
1963,0,TO KILL A MOCKINGBIRD 
1963,0,TOBACCO 
1963,0,THE VENERABLE ONES
1963,0,WHAT EVER HAPPENED TO BABY JANE? 
1964,0,ALONE ACROSS THE PACIFIC
1964,0,THE APE WOMAN
1964,0,BARREN LIVES 
1964,0,"BLACK GOD, WHITE DEVIL"
1964,0,THE CRY 
1964,0,DEAD WOMAN FROM BEVERLY HILLS
1964,0,DRAMA OF THE LARK
1964,0,THE GIRL IN MOURNING
1964,0,GREED IN THE SUN
1964,0,I STEP THROUGH MOSCOW
1964,0,LAST NIGHT 
1964,0,ME FIRST 
1964,0,MUJHE JEENE DO
1964,0,"ONE POTATO, TWO POTATO "
1964,0,PASSENGER 
1964,0,THE PUMPKIN EATER
1964,0,RAVEN'S END
1964,0,THE RED LANTERNS
1964,0,SEDUCED AND ABANDONED
1964,0,THE SOFT SKIN 
1964,1,THE UMBRELLAS OF CHERBOURG
1964,0,THE WHITE CARAVAN
1964,0,THE WOMAN IN THE DUNES 
1964,0,THE WORLD OF HENRY ORIENT
1964,0,THE VISIT 
1965,0,THE 317TH PLATOON
1965,0,ALWAYS FURTHER ON
1965,0,CIRCUS ANGEL
1965,0,CLAY 
1965,0,THE COLLECTOR 
1965,0,AZ ÉLETBE TÁNCOLTATOTT LEÁNY
1965,0,THE FIRST DAY OF FREEDOM
1965,0,FOREST OF THE HANGED
1965,0,THE SIN 
1965,0,THE HILL 
1965,0,THE IPCRESS FILE 
1965,0,THE KNACK …AND HOW TO GET IT
1965,0,KWAIDAN 
1965,0,THE LARK 
1965,0,LOVING COUPLES 
1965,0,MEN AND WOMEN 
1965,0,THE MOMENT OF TRUTH 
1965,0,MY HOME IS COPACABANA
1965,0,EL REÑIDERO
1965,0,THE SHOP ON MAIN STREET
1965,0,SNAKES AND LADDERS 
1965,0,THERE WAS AN OLD COUPLE
1965,0,TORRID NOON
1965,0,TREASON 
1965,0,THE UNINHIBITED
1965,0,YO YO
1966,0,ALFIE 
1966,0,L'ARMATA BRANCALEONE
1966,0,THE ASHES 
1966,1,"THE BIRDS, THE BEES AND THE ITALIANS"
1966,0,CHIMES AT MIDNIGHT
1966,0,DOCTOR ZHIVAGO 
1966,0,THE HAWKS AND THE SPARROWS
1966,0,"HELLO, THAT'S ME!"
1966,0,THE HOUR AND TURN OF AUGUSTO MATRAGA
1966,0,HUNGER 
1966,0,IT 
1966,0,LENIN IN POLAND
1966,0,MADEMOISELLE 
1966,1,A MAN AND A WOMAN
1966,0,MODESTY BLAISE 
1966,0,MORGAN!
1966,0,THE NUN 
1966,0,ÖN
1966,0,PHARAOH 
1966,0,THE PIPES
1966,0,RĂSCOALA
1966,0,THE ROUND-UP 
1966,0,SECONDS 
1966,0,WITH THE EAST WIND
1966,0,YOUNG TÖRLESS
1967,0,ACCIDENT 
1967,1,BLOWUP
1967,0,A DEGREE OF MURDER
1967,0,ELVIRA MADIGAN 
1967,0,ENTRANCED EARTH
1967,0,HAGBARD AND SIGNE
1967,0,HOTEL FOR STRANGERS
1967,0,I EVEN MET HAPPY GYPSIES
1967,0,L'IMMORALE
1967,0,KATERINA IZMAILOVA 
1967,0,THE KILLING GAME 
1967,0,THE LAST MEETING
1967,0,"MY LOVE, MY LOVE "
1967,0,MISUNDERSTOOD 
1967,0,MONDAY'S CHILD 
1967,0,MOUCHETTE
1967,0,PEDRO PÁRAMO 
1967,0,TEN THOUSAND DAYS 
1967,0,THREE DAYS AND A CHILD
1967,0,ULYSSES 
1967,0,THE UNKNOWN MAN OF SHANDIGOR
1967,0,WE STILL KILL THE OLD WAY
1967,0,THE WINDS OF THE AURES
1967,0,YOU'RE A BIG BOY NOW
1968,0,BLACK JESUS 
1968,0,24 HOURS IN THE LIFE OF A WOMAN 
1968,0,ANNA KARENINA 
1968,0,BANDITS IN MILAN
1968,0,CHARLIE BUBBLES
1968,0,THE RED AND THE WHITE 
1968,0,THE CASTLE 
1968,0,DOCTOR GLAS 
1968,0,THE UPTHROWN STONE
1968,0,THE CONFRONTATION 
1968,0,COME PLAY WITH ME 
1968,0,HERE WE GO ROUND THE MULBERRY BUSH 
1968,0,THE FIREMEN'S BALL
1968,0,THE PROTAGONISTS 
1968,0,"JE T'AIME, JE T'AIME"
1968,0,JOANNA 
1968,0,LES GAULOISES BLEUES
1968,0,PLAYING SOLDIERS
1968,0,A REPORT ON THE PARTY AND THE GUESTS
1968,0,PEPPERMINT FRAPPÉ
1968,0,PETULIA
