year_film,year_ceremony,ceremony,category,film,Best_Pic_Winner,imdb_title_id,genre,duration,country,language,writer,production_company,actors,description,first_director,Director,director_id,Dir_Cum_Films,Producer,count_of_film_nominations,nominated_for_best_director,best_directing_win,first_dir,best_directing_nomination_sum,best_directing_win_sum,prior_best_directing_nominations,prior_best_directing_wins,running_best_picture_nomination,Globes_Best_Dir_Winner,Globes_Best_Pic_Winner,bafta,cannes,DGA_Winner,Drama,Adventure,War,Musical,Sci-Fi,Thriller,Romance,Animation,Film-Noir,Horror,Mystery,Music,Action,Crime,Family,Fantasy,Sport,Biography,Comedy,History,Western
1928,1928,1,OUTSTANDING PICTURE,THE RACKET,FALSE,tt0019304,"Crime, Drama, Film-Noir",84,USA,English,"Bartlett Cormack, Bartlett Cormack",The Caddo Company,"Thomas Meighan, Louis Wolheim, Marie Prevost, G. Pat Collins, Henry Sedley, George E. Stone, Sam De Grasse, Richard 'Skeets' Gallagher, Lee Moran, John Darrow, Lucien Prival, Dan Wolheim",An honest police captain vows to bring down a powerful bootlegger who is protected by corrupt politicians and judges.,Lewis Milestone,Lewis Milestone,nm0587277,13,No,1,0,0,Lewis Milestone,1,1,1,1,1,x,x,x,x,x,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1927,1928,1,OUTSTANDING PICTURE,7TH HEAVEN,FALSE,tt0018379,"Drama, Romance",110,USA,English,"Austin Strong, Benjamin Glazer",Frank Borzage Production,"Janet Gaynor, Charles Farrell, Albert Gran, David Butler, Marie Mosquini, Gladys Brockwell, Emile Chautard, Ben Bard, George E. Stone","A street cleaner saves a young woman's life, and the pair slowly fall in love until war intervenes.",Frank Borzage,Frank Borzage,nm0097648,58,No,5,1,TRUE,Frank Borzage,1,1,1,1,1,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,1928,1,OUTSTANDING PICTURE,WINGS,TRUE,tt0018578,"Drama, Romance, War",144,USA,English,"John Monk Saunders, Hope Loring",Paramount Famous Lasky Corporation,"Clara Bow, Charles 'Buddy' Rogers, Richard Arlen, Jobyna Ralston, El Brendel, Richard Tucker, Gary Cooper, Gunboat Smith, Henry B. Walthall, Roscoe Karns, Julia Swayne Gordon, Arlette Marchal, Rod Rogers","Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I.",William A. Wellman,William A. Wellman,nm0920074,12,No,2,0,0,William A. Wellman,0,0,0,0,1,x,x,x,x,x,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,1929,2,OUTSTANDING PICTURE,ALIBI,FALSE,tt0019630,Crime,91,USA,English,"Roland West, C. Gardner Sullivan",Feature Productions,"Chester Morris, Harry Stubbs, Mae Busch, Eleanor Griffith, Irma Harrison, Regis Toomey, Al Hill, James Bradbury Jr., Elmer Ballard, Kernan Cripps, Purnell Pratt, Pat O'Malley, DeWitt Jennings, Ed Brady, Virginia Flohri","Chick Williams, a prohibition gangster, rejoins his mob soon after being released from prison. When a policeman is murdered during a robbery, he falls under suspicion. The gangster took ...",Roland West,Roland West,nm0922327,12,Yes,3,0,0,Roland West,0,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1928,1929,2,OUTSTANDING PICTURE,IN OLD ARIZONA,FALSE,tt0020018,"Romance, Western",95,USA,"English, Spanish, Italian","O. Henry, Tom Barry",Fox Film Corporation,"Warner Baxter, Edmund Lowe, Dorothy Burgess","A charming, happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.",Irving Cummings,Irving Cummings,nm0191899,41,No,4,1,FALSE,Irving Cummings,1,0,0,0,1,x,x,x,x,x,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1929,1929,2,OUTSTANDING PICTURE,THE BROADWAY MELODY,TRUE,tt0019729,"Drama, Musical, Romance",100,USA,English,"Edmund Goulding, Norman Houston",Metro-Goldwyn-Mayer (MGM),"Charles King, Anita Page, Bessie Love","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.",Harry Beaumont,Harry Beaumont,nm0064600,73,No,3,1,FALSE,Harry Beaumont,1,0,0,0,1,x,x,x,x,x,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1929,1929,2,OUTSTANDING PICTURE,THE HOLLYWOOD REVUE OF 1929,FALSE,tt0019993,Musical,130,USA,English,"Al Boasberg, Robert E. Hopkins",Metro-Goldwyn-Mayer (MGM),"Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer, Joan Crawford, Bessie Love, Cliff Edwards, Stan Laurel, Oliver Hardy, Anita Page, Nils Asther, Brox Sisters, Natova and Company, Marion Davies, William Haines",An all-star revue featuring MGM contract players.,Charles Reisner,Charles Reisner,nm0718469,31,No,1,0,0,Charles Reisner,0,0,0,0,1,x,x,x,x,x,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1928,1929,2,OUTSTANDING PICTURE,THE PATRIOT,FALSE,tt0019257,"Drama, History, Thriller",113,,,,,,,Ernst Lubitsch,Ernst Lubitsch,nm0523932,51,Yes,5,1,FALSE,Ernst Lubitsch,1,0,0,0,1,x,x,x,x,x,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1930,1930,3,OUTSTANDING PRODUCTION,ALL QUIET ON THE WESTERN FRONT,TRUE,tt0020629,"Drama, War",136,USA,"English, French, German, Latin","Erich Maria Remarque, Maxwell Anderson",Universal Pictures,"Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy, Ben Alexander, Scott Kolk, Owen Davis Jr., Walter Rogers, William Bakewell, Russell Gleason, Richard Alexander, Harold Goodwin, Slim Summerville, G. Pat Collins, Beryl Mercer",A young soldier faces profound disillusionment in the soul-destroying horror of World War I.,Lewis Milestone,Lewis Milestone,nm0587277,16,No,4,1,TRUE,Lewis Milestone,2,2,1,1,2,x,x,x,x,x,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,1930,3,OUTSTANDING PRODUCTION,THE BIG HOUSE,FALSE,tt0020686,"Crime, Drama, Thriller",87,USA,"English, Russian","Frances Marion, Joseph Farnham",Metro-Goldwyn-Mayer (MGM),"Chester Morris, Wallace Beery, Lewis Stone, Robert Montgomery, Leila Hyams, George F. Marion, J.C. Nugent, Karl Dane, DeWitt Jennings, Matthew Betz, Claire McDowell, Robert Emmett O'Connor, Tom Kennedy, Tom Wilson, Eddie Foyer","A convict falls in love with his new cellmate's sister, only to become embroiled in a planned break-out which is certain to have lethal consequences.",George W. Hill,George W. Hill,nm0384276,17,No,4,0,0,George W. Hill,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
